"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",5816,30016,58100,297275,2672539,4201065,10488523,27971014,0.0144326584192313
"2",6116,28295,55617,255864,2787188,4764698,11780898,30898470,0.0107634337331944
"3",4134,20058,38262,185734,2313360,3998896,9894819,25986494,0.0102047822462832
"4",3888,17319,34058,149652,2239602,4069581,10206083,26038352,0.00741819678310106
"5",3752,16911,32911,153283,2091044,3680652,9108378,23951693,0.00890337391634895
"6",3807,17934,34358,165574,2002773,3464330,8609574,22339159,0.0104843929380247
"7",3152,15408,29023,145821,1916971,3090050,7720559,20103896,0.0105882751112888
"8",2428,11505,22268,106901,1644453,2849601,7086236,18661277,0.0081917195363473
"9",2272,11630,22465,116858,1412798,2298236,5677894,15141954,0.0103436246052658
"10",2931,13695,26435,124714,1532081,2467762,6120141,16355960,0.0102248831072395
"11",3098,15261,29957,160783,1460797,2439346,6093762,16584479,0.0154314022301927
"12",3752,17166,34361,165587,1609060,2544506,6373846,16779978,0.0138557022591484
"13",1996,8410,16281,68574,1150217,2085834,5177526,13364426,0.00563432681561334
"14",2403,10723,21567,101445,1064099,1743275,4300892,11425316,0.0109020036094038
"15",2375,10699,21415,106328,1001017,1554134,3780986,10225146,0.0120668953079859
"16",1518,8522,15325,97719,975450,1296094,3244552,8838860,0.0167866922955031
"17",2283,12244,23014,140394,1027793,1282407,3180497,8781448,0.0246287175701209
"18",1334,6360,12329,55682,881811,1611951,3887239,10705381,0.00696855926692557
"19",1748,11689,18540,147952,800191,799347,2056172,5384209,0.0401358526760966
"20",1045,5421,9973,58910,693071,1065209,2567366,7296980,0.0130428871863609
"21",692,3221,5822,28977,445006,774409,1905783,5119843,0.00758919137264512
"22",568,3338,5991,43733,434145,550624,1335244,3887594,0.014747099420628
"23",2294,11968,23165,118394,1759384,3112706,7882263,20369761,0.00854648392012876
"24",103,739,1414,7548,297707,507857,1311292,3342684,0.00126051473756066
