"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",5868,30121,58361,298466,2672539,4201065,10488523,27971014,0.0144829724456757
"2",6143,28465,55794,257502,2787188,4764698,11780898,30898470,0.0108306650917994
"3",4174,20129,38513,186435,2313360,3998896,9894819,25986494,0.0102490747157883
"4",3918,17394,34258,150286,2239602,4069581,10206083,26038352,0.00746095902072268
"5",3696,16959,32888,153971,2091044,3680652,9108378,23951693,0.00896552059585412
"6",3814,17936,34419,165794,2002773,3464330,8609574,22339159,0.0105093100985651
"7",3198,15431,29151,146510,1916971,3090050,7720559,20103896,0.0106235317286619
"8",2452,11656,22464,108127,1644453,2849601,7086236,18661277,0.00832229124710804
"9",2275,11638,22470,117309,1412798,2298236,5677894,15141954,0.010405715125672
"10",2948,13837,26672,125711,1532081,2467762,6120141,16355960,0.0103164095344079
"11",3156,15426,30285,162460,1460797,2439346,6093762,16584479,0.0155904853405839
"12",3765,17199,34393,165786,1609060,2544506,6373846,16779978,0.0139083301618907
"13",1969,8419,16314,68733,1150217,2085834,5177526,13364426,0.00564465346222294
"14",2405,10716,21572,101634,1064099,1743275,4300892,11425316,0.0109344576390742
"15",2345,10690,21387,106375,1001017,1554134,3780986,10225146,0.0120839261909183
"16",1540,8556,15458,98180,975450,1296094,3244552,8838860,0.0168269741935166
"17",2285,12266,23071,140500,1027793,1282407,3180497,8781448,0.0246180038130165
"18",1333,6397,12381,55970,881811,1611951,3887239,10705381,0.00702512034937977
"19",1728,11717,18550,148781,800191,799347,2056172,5384209,0.0403581919810591
"20",1063,5464,10033,59243,693071,1065209,2567366,7296980,0.0131011701959
"21",694,3220,5839,29042,445006,774409,1905783,5119843,0.00760719608911012
"22",564,3347,5992,43923,434145,550624,1335244,3887594,0.0148244138331758
"23",2333,12052,23343,119189,1759384,3112706,7882263,20369761,0.00859602862441926
"24",96,723,1345,7284,297707,507857,1311292,3342684,0.0012115521905017
