"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1334046,2004928,4907119,13169674,2672539,4201065,10488523,27971014,0.450021799397487
"2",1275083,2070599,5017568,13171516,2787188,4764698,11780898,30898470,0.43042870067763
"3",1170544,1937322,4711050,12483786,2313360,3998896,9894819,25986494,0.494581661306898
"4",887905,1543217,3776360,9724707,2239602,4069581,10206083,26038352,0.382591232306066
"5",843380,1395829,3377871,8950006,2091044,3680652,9108378,23951693,0.387840692027348
"6",867365,1444020,3501500,9184471,2002773,3464330,8609574,22339159,0.417770884940743
"7",929737,1483867,3626469,9485303,1916971,3090050,7720559,20103896,0.480484768824374
"8",715402,1198266,2922497,7692555,1644453,2849601,7086236,18661277,0.418065352357314
"9",604443,924823,2233970,6020040,1412798,2298236,5677894,15141954,0.369562842489139
"10",757861,1182203,2869294,7638984,1532081,2467762,6120141,16355960,0.472572505918687
"11",715236,1136270,2789349,7620453,1460797,2439346,6093762,16584479,0.480077775577214
"12",831681,1261048,3093149,8100779,1609060,2544506,6373846,16779978,0.497636910374749
"13",394585,683671,1647677,4314458,1150217,2085834,5177526,13364426,0.286963597600119
"14",501771,752343,1818382,4819197,1064099,1743275,4300892,11425316,0.371979456094752
"15",547113,805474,1950008,5190470,1001017,1554134,3780986,10225146,0.43082253899403
"16",488440,586719,1435759,3947515,975450,1296094,3244552,8838860,0.439495952687643
"17",579343,679594,1662980,4469247,1027793,1282407,3180497,8781448,0.541056120137058
"18",345563,582839,1399288,3731888,881811,1611951,3887239,10705381,0.367474217334777
"19",452720,406925,1047428,2682722,800191,799347,2056172,5384209,0.561402872474377
"20",319286,449637,1084403,3021816,693071,1065209,2567366,7296980,0.437099978342493
"21",155375,244143,587986,1600021,445006,774409,1905783,5119843,0.296420317686692
"22",221794,250382,608244,1722721,434145,550624,1335244,3887594,0.375498588426554
"23",570216,953461,2353138,6220167,1759384,3112706,7882263,20369761,0.314558917391495
"24",32053,56359,140307,355230,297707,507857,1311292,3342684,0.0448165271836933
