"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",76671,163014,358224,1239178,2672539,4201065,10488523,27971014,0.0493731911041042
"2",62355,141845,309438,1034822,2787188,4764698,11780898,30898470,0.0385204841703264
"3",51101,112453,243422,817015,2313360,3998896,9894819,25986494,0.0376870568241016
"4",39706,93105,206362,652563,2239602,4069581,10206083,26038352,0.0286222891828651
"5",43843,99109,216157,709032,2091044,3680652,9108378,23951693,0.0346638666398139
"6",41670,95654,208977,693162,2002773,3464330,8609574,22339159,0.0365813131166796
"7",40908,89745,195889,665192,1916971,3090050,7720559,20103896,0.0402738888167572
"8",32249,73657,161407,531209,1644453,2849601,7086236,18661277,0.0336573302232219
"9",29242,64859,141184,495317,1412798,2298236,5677894,15141954,0.0365122969253227
"10",31544,72922,156629,531662,1532081,2467762,6120141,16355960,0.0369300463801163
"11",39719,86315,190423,680758,1460797,2439346,6093762,16584479,0.0529015745171272
"12",53998,109026,244708,799680,1609060,2544506,6373846,16779978,0.0557188728783964
"13",19811,48100,103792,332117,1150217,2085834,5177526,13364426,0.0241786232504247
"14",31447,64386,142646,470262,1064099,1743275,4300892,11425316,0.0421656224609089
"15",36341,73372,163588,548312,1001017,1554134,3780986,10225146,0.0520476822757699
"16",33797,61027,134358,486218,975450,1296094,3244552,8838860,0.0643391352808157
"17",38683,72762,159107,593575,1027793,1282407,3180497,8781448,0.0846210250444762
"18",20147,43961,96194,307763,881811,1611951,3887239,10705381,0.0329422394518278
"19",37697,63024,135930,528945,800191,799347,2056172,5384209,0.117860627426404
"20",15307,33114,70468,263389,693071,1065209,2567366,7296980,0.0458259317712959
"21",10243,22606,49689,168366,445006,774409,1905783,5119843,0.0357991352726461
"22",18372,30997,68776,259397,434145,550624,1335244,3887594,0.0655393429018758
"23",25496,62497,135396,479373,1759384,3112706,7882263,20369761,0.0286383450953675
"24",2737,8631,17712,65125,297707,507857,1311292,3342684,0.00984774517597903
