Symbol,Cancer Gene Census,Name,Cytoband,Type,# Affected Cases in Cohort,# Affected Cases Across the GDC,# Mutations,Annotations,Survival
TP53,yes,tumor protein p53,17p13.1,protein_coding,"731 / 1,062 (68.83%)","4,008 / 10,202",414,Cancer Gene Census,add to survival plot
TTN,no,titin,2q31.2,protein_coding,"712 / 1,062 (67.04%)","3,858 / 10,202",2220,,add to survival plot
MUC16,yes,"mucin 16, cell surface associated",19p13.2,protein_coding,"524 / 1,062 (49.34%)","2,466 / 10,202",1045,,add to survival plot
CSMD3,yes,CUB and Sushi multiple domains 3,8q23.3,protein_coding,"494 / 1,062 (46.52%)","1,636 / 10,202",854,,add to survival plot
RYR2,no,ryanodine receptor 2 (cardiac),1q43,protein_coding,"468 / 1,062 (44.07%)","1,575 / 10,202",805,,add to survival plot
LRP1B,yes,low density lipoprotein receptor-related protein 1B,"2q22.1, 2q22.2",protein_coding,"412 / 1,062 (38.79%)","1,524 / 10,202",682,,add to survival plot
USH2A,no,"Usher syndrome 2A (autosomal recessive, mild)",1q41,protein_coding,"405 / 1,062 (38.14%)","1,393 / 10,202",650,,add to survival plot
ZFHX4,no,zinc finger homeobox 4,8q21.13,protein_coding,"377 / 1,062 (35.50%)","1,293 / 10,202",583,,add to survival plot
XIRP2,no,xin actin-binding repeat containing 2,2q24.3,protein_coding,"329 / 1,062 (30.98%)","1,185 / 10,202",478,,add to survival plot
SYNE1,no,"spectrin repeat containing, nuclear envelope 1",6q25.2,protein_coding,"314 / 1,062 (29.57%)","1,593 / 10,202",460,,add to survival plot
SPTA1,no,"spectrin, alpha, erythrocytic 1",1q23.1,protein_coding,"289 / 1,062 (27.21%)","1,126 / 10,202",398,,add to survival plot
FLG,no,filaggrin,1q21.3,protein_coding,"277 / 1,062 (26.08%)","1,430 / 10,202",427,,add to survival plot
NAV3,,neuron navigator 3,12q21.2,protein_coding,"265 / 1,062 (24.95%)","825 / 10,202",338,,add to survival plot
MUC17,,"mucin 17, cell surface associated",7q22.1,protein_coding,"263 / 1,062 (24.76%)","1,105 / 10,202",347,,add to survival plot
FAT3,,FAT atypical cadherin 3,11q14.3,protein_coding,"260 / 1,062 (24.48%)","1,170 / 10,202",368,,add to survival plot
RYR3,,ryanodine receptor 3,"15q13.3, 15q14",protein_coding,"258 / 1,062 (24.29%)","1,075 / 10,202",356,,add to survival plot
FAM135B,,"family with sequence similarity 135, member B",8q24.23,protein_coding,"256 / 1,062 (24.11%)","839 / 10,202",334,,add to survival plot
PCDH15,,protocadherin-related 15,10q21.1,protein_coding,"253 / 1,062 (23.82%)","1,004 / 10,202",356,,add to survival plot
CSMD1,,CUB and Sushi multiple domains 1,8p23.2,protein_coding,"245 / 1,062 (23.07%)","1,188 / 10,202",336,,add to survival plot
ZNF536,,zinc finger protein 536,19q12,protein_coding,"244 / 1,062 (22.98%)","837 / 10,202",317,,add to survival plot
PCLO,,piccolo presynaptic cytomatrix protein,7q21.11,protein_coding,"242 / 1,062 (22.79%)","1,340 / 10,202",330,,add to survival plot
PAPPA2,,pappalysin 2,1q25.2,protein_coding,"236 / 1,062 (22.22%)","818 / 10,202",314,,add to survival plot
ANK2,,"ankyrin 2, neuronal","4q25, 4q26",protein_coding,"233 / 1,062 (21.94%)","879 / 10,202",295,,add to survival plot
CDH10,,"cadherin 10, type 2 (T2-cadherin)","5p14.2, 5p14.1",protein_coding,"231 / 1,062 (21.75%)","649 / 10,202",293,,add to survival plot
ADAMTS12,,"ADAM metallopeptidase with thrombospondin type 1 motif, 12","5p13.3, 5p13.2",protein_coding,"228 / 1,062 (21.47%)","629 / 10,202",284,,add to survival plot
COL11A1,,"collagen, type XI, alpha 1",1p21.1,protein_coding,"228 / 1,062 (21.47%)","831 / 10,202",300,,add to survival plot
APOB,,apolipoprotein B,2p24.1,protein_coding,"225 / 1,062 (21.19%)","1,092 / 10,202",287,,add to survival plot
DNAH9,,"dynein, axonemal, heavy chain 9",17p12,protein_coding,"217 / 1,062 (20.43%)","994 / 10,202",292,,add to survival plot
PCDH11X,,protocadherin 11 X-linked,Xq21.31,protein_coding,"217 / 1,062 (20.43%)","704 / 10,202",269,,add to survival plot
TNR,,tenascin R,1q25.1,protein_coding,"214 / 1,062 (20.15%)","646 / 10,202",258,,add to survival plot
DNAH5,,"dynein, axonemal, heavy chain 5",5p15.2,protein_coding,"213 / 1,062 (20.06%)","1,258 / 10,202",282,,add to survival plot
OBSCN,,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF",1q42.13,protein_coding,"213 / 1,062 (20.06%)","1,316 / 10,202",262,,add to survival plot
RELN,,reelin,7q22.1,protein_coding,"210 / 1,062 (19.77%)","859 / 10,202",284,,add to survival plot
FAT4,,FAT atypical cadherin 4,4q28.1,protein_coding,"209 / 1,062 (19.68%)","1,169 / 10,202",250,Cancer Gene Census,add to survival plot
PKHD1,,polycystic kidney and hepatic disease 1 (autosomal recessive),"6p12.3, 6p12.2",protein_coding,"209 / 1,062 (19.68%)","861 / 10,202",252,,add to survival plot
RYR1,,ryanodine receptor 1 (skeletal),19q13.2,protein_coding,"209 / 1,062 (19.68%)","1,090 / 10,202",263,,add to survival plot
DST,,dystonin,6p12.1,protein_coding,"205 / 1,062 (19.30%)","1,181 / 10,202",274,,add to survival plot
ERICH3,,glutamate-rich 3,1p31.1,protein_coding,"204 / 1,062 (19.21%)","694 / 10,202",250,,add to survival plot
SI,,sucrase-isomaltase (alpha-glucosidase),3q26.1,protein_coding,"204 / 1,062 (19.21%)","749 / 10,202",268,,add to survival plot
PKHD1L1,,polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1,"8q23.1, 8q23.2",protein_coding,"202 / 1,062 (19.02%)","947 / 10,202",250,,add to survival plot
CNTNAP5,,contactin associated protein-like 5,2q14.3,protein_coding,"197 / 1,062 (18.55%)","711 / 10,202",244,,add to survival plot
PRDM9,,PR domain containing 9,5p14.2,protein_coding,"195 / 1,062 (18.36%)","615 / 10,202",231,,add to survival plot
LRP2,,low density lipoprotein receptor-related protein 2,2q31.1,protein_coding,"195 / 1,062 (18.36%)","1,009 / 10,202",248,,add to survival plot
AHNAK2,,AHNAK nucleoprotein 2,14q32.33,protein_coding,"193 / 1,062 (18.17%)","1,019 / 10,202",281,,add to survival plot
CSMD2,,CUB and Sushi multiple domains 2,1p35.1,protein_coding,"192 / 1,062 (18.08%)","969 / 10,202",241,,add to survival plot
LRRC7,,leucine rich repeat containing 7,1p31.1,protein_coding,"192 / 1,062 (18.08%)","692 / 10,202",249,,add to survival plot
DNAH8,,"dynein, axonemal, heavy chain 8",6p21.2,protein_coding,"190 / 1,062 (17.89%)","985 / 10,202",232,,add to survival plot
ZNF804A,,zinc finger protein 804A,2q32.1,protein_coding,"188 / 1,062 (17.70%)","611 / 10,202",240,,add to survival plot
ABCA13,,"ATP-binding cassette, sub-family A (ABC1), member 13",7p12.3,protein_coding,"188 / 1,062 (17.70%)","958 / 10,202",226,,add to survival plot
HMCN1,,hemicentin 1,"1q25.3, 1q31.1",protein_coding,"188 / 1,062 (17.70%)","1,148 / 10,202",260,,add to survival plot
HCN1,,hyperpolarization activated cyclic nucleotide gated potassium channel 1,5p12,protein_coding,"187 / 1,062 (17.61%)","622 / 10,202",218,,add to survival plot
ADGRG4,,adhesion G protein-coupled receptor G4,Xq26.3,protein_coding,"186 / 1,062 (17.51%)","734 / 10,202",220,,add to survival plot
NEB,,nebulin,2q23.3,protein_coding,"186 / 1,062 (17.51%)","1,040 / 10,202",238,,add to survival plot
DMD,,dystrophin,"Xp21.2, Xp21.1",protein_coding,"186 / 1,062 (17.51%)","952 / 10,202",256,,add to survival plot
CACNA1E,,"calcium channel, voltage-dependent, R type, alpha 1E subunit",1q25.3,protein_coding,"184 / 1,062 (17.33%)","846 / 10,202",229,,add to survival plot
KMT2D,,lysine (K)-specific methyltransferase 2D,12q13.12,protein_coding,"180 / 1,062 (16.95%)","1,140 / 10,202",218,Cancer Gene Census,add to survival plot
ADGRB3,,adhesion G protein-coupled receptor B3,"6q12, 6q13",protein_coding,"179 / 1,062 (16.85%)","652 / 10,202",198,,add to survival plot
CUBN,,cubilin (intrinsic factor-cobalamin receptor),10p13,protein_coding,"179 / 1,062 (16.85%)","836 / 10,202",225,,add to survival plot
SSPO,,SCO-spondin,7q36.1,protein_coding,"176 / 1,062 (16.57%)","789 / 10,202",209,,add to survival plot
CNTNAP2,,contactin associated protein-like 2,"7q35, 7q36.1",protein_coding,"176 / 1,062 (16.57%)","707 / 10,202",212,,add to survival plot
NRXN1,,neurexin 1,2p16.3,protein_coding,"174 / 1,062 (16.38%)","751 / 10,202",220,,add to survival plot
DNAH7,,"dynein, axonemal, heavy chain 7",2q32.3,protein_coding,"174 / 1,062 (16.38%)","898 / 10,202",201,,add to survival plot
BRINP3,,bone morphogenetic protein/retinoic acid inducible neural-specific 3,1q31.1,protein_coding,"174 / 1,062 (16.38%)","569 / 10,202",200,,add to survival plot
TNN,,tenascin N,1q25.1,protein_coding,"173 / 1,062 (16.29%)","551 / 10,202",201,,add to survival plot
MUC5B,,"mucin 5B, oligomeric mucus/gel-forming",11p15.5,protein_coding,"173 / 1,062 (16.29%)","981 / 10,202",235,,add to survival plot
