######## Chromosome chr1 #########

gene 1/5050 for chr1:	DDX11L1
gene 2/5050 for chr1:	WASH7P
gene 3/5050 for chr1:	MIR6859-1
gene 4/5050 for chr1:	MIR1302-2
gene 5/5050 for chr1:	FAM138A
gene 6/5050 for chr1:	OR4G4P
gene 7/5050 for chr1:	OR4G11P
gene 8/5050 for chr1:	OR4F5
gene 9/5050 for chr1:	RP11-34P13.7
gene 10/5050 for chr1:	RP11-34P13.8
gene 11/5050 for chr1:	CICP27
gene 12/5050 for chr1:	RP11-34P13.15
gene 13/5050 for chr1:	RP11-34P13.16
gene 14/5050 for chr1:	RP11-34P13.14
gene 15/5050 for chr1:	RP11-34P13.13
gene 16/5050 for chr1:	RNU6-1100P
gene 17/5050 for chr1:	RP11-34P13.9
gene 18/5050 for chr1:	FO538757.2
gene 19/5050 for chr1:	FO538757.1
gene 20/5050 for chr1:	MIR6859-2
gene 21/5050 for chr1:	AP006222.2
gene 22/5050 for chr1:	RPL23AP21
gene 23/5050 for chr1:	RPL23AP24
gene 24/5050 for chr1:	RP5-857K21.15
gene 25/5050 for chr1:	RP4-669L17.2
gene 26/5050 for chr1:	RP4-669L17.10
gene 27/5050 for chr1:	WBP1LP7
gene 28/5050 for chr1:	OR4F29
gene 29/5050 for chr1:	SEPT14P13
gene 30/5050 for chr1:	CICP7
gene 31/5050 for chr1:	RP4-669L17.8
gene 32/5050 for chr1:	U6
gene 33/5050 for chr1:	RP5-857K21.4
gene 34/5050 for chr1:	RP5-857K21.2
gene 35/5050 for chr1:	MTND1P23
gene 36/5050 for chr1:	MTND2P28
gene 37/5050 for chr1:	MTCO1P12
gene 38/5050 for chr1:	MIR6723
gene 39/5050 for chr1:	MTCO2P12
gene 40/5050 for chr1:	MTATP8P1
gene 41/5050 for chr1:	MTATP6P1
gene 42/5050 for chr1:	MTCO3P12
gene 43/5050 for chr1:	WBP1LP6
gene 44/5050 for chr1:	OR4F16
gene 45/5050 for chr1:	RP11-206L10.17
gene 46/5050 for chr1:	CICP3
gene 47/5050 for chr1:	RP11-206L10.2
gene 48/5050 for chr1:	RNU6-1199P
gene 49/5050 for chr1:	RP11-206L10.4
gene 50/5050 for chr1:	RP11-206L10.9
gene 51/5050 for chr1:	RP11-206L10.8
gene 52/5050 for chr1:	FAM87B
gene 53/5050 for chr1:	LINC01128
gene 54/5050 for chr1:	LINC00115
gene 55/5050 for chr1:	FAM41C
gene 56/5050 for chr1:	TUBB8P11
gene 57/5050 for chr1:	FAM166AP3
gene 58/5050 for chr1:	RP11-54O7.16
gene 59/5050 for chr1:	RP11-54O7.1
gene 60/5050 for chr1:	RP11-54O7.2
gene 61/5050 for chr1:	RP11-54O7.3
gene 62/5050 for chr1:	SAMD11
gene 63/5050 for chr1:	NOC2L
gene 64/5050 for chr1:	KLHL17
gene 65/5050 for chr1:	PLEKHN1
gene 66/5050 for chr1:	PERM1
gene 67/5050 for chr1:	RP11-54O7.17
gene 68/5050 for chr1:	HES4
