Symbol,Cancer Gene Census,Name,Cytoband,Type,# Affected Cases in Cohort,# Affected Cases Across the GDC,# Mutations,Annotations,Survival
APC,yes,adenomatous polyposis coli,5q22.2,protein_coding,430 / 537 (80.07%),"893 / 10,202",414,Cancer Gene Census,add to survival plot
TP53,yes,tumor protein p53,17p13.1,protein_coding,346 / 537 (64.43%),"4,008 / 10,202",193,Cancer Gene Census,add to survival plot
TTN,no,titin,2q31.2,protein_coding,341 / 537 (63.50%),"3,858 / 10,202",1396,,add to survival plot
KRAS,yes,Kirsten rat sarcoma viral oncogene homolog,12p12.1,protein_coding,231 / 537 (43.02%),"839 / 10,202",38,Cancer Gene Census,add to survival plot
SYNE1,no,"spectrin repeat containing, nuclear envelope 1",6q25.2,protein_coding,191 / 537 (35.57%),"1,593 / 10,202",447,,add to survival plot
MUC16,yes,"mucin 16, cell surface associated",19p13.2,protein_coding,191 / 537 (35.57%),"2,466 / 10,202",519,,add to survival plot
FAT4,yes,FAT atypical cadherin 4,4q28.1,protein_coding,149 / 537 (27.75%),"1,169 / 10,202",302,Cancer Gene Census,add to survival plot
PIK3CA,yes,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha",3q26.32,protein_coding,146 / 537 (27.19%),"1,403 / 10,202",75,Cancer Gene Census,add to survival plot
OBSCN,no,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF",1q42.13,protein_coding,144 / 537 (26.82%),"1,316 / 10,202",285,,add to survival plot
RYR2,no,ryanodine receptor 2 (cardiac),1q43,protein_coding,139 / 537 (25.88%),"1,575 / 10,202",266,,add to survival plot
SOX11,no,SRY (sex determining region Y)-box 11,2p25.2,protein_coding,136 / 537 (25.33%),"443 / 10,202",211,,add to survival plot
ZFHX4,,zinc finger homeobox 4,8q21.13,protein_coding,133 / 537 (24.77%),"1,293 / 10,202",208,,add to survival plot
MUC4,,"mucin 4, cell surface associated",3q29,protein_coding,130 / 537 (24.21%),"1,304 / 10,202",161,,add to survival plot
FLG,,filaggrin,1q21.3,protein_coding,126 / 537 (23.46%),"1,430 / 10,202",174,,add to survival plot
LRP1B,,low density lipoprotein receptor-related protein 1B,"2q22.1, 2q22.2",protein_coding,126 / 537 (23.46%),"1,524 / 10,202",242,,add to survival plot
CSMD1,,CUB and Sushi multiple domains 1,8p23.2,protein_coding,123 / 537 (22.91%),"1,188 / 10,202",215,,add to survival plot
